CharacterId,Name,Author,Width,Height
110,Android 16,Choujin,384.0,256.0
111,Android 18,Stig87,52.0,84.0
112,Andromeda,Tony adv & kingseiya,90.0,110.0
113,Andy_xiii,Iori974,136.0,215.0
114,Angela belti,Drkelexo,67.0,106.0
116,Angel ryu,Seth zankuten,57.0,105.0
118,Angus,The_none,76.0,109.0
119,Animus,Andres borghi,62.0,127.0
120,Anji mito,Meka,100.0,135.0
121,Anji,Muteki,204.0,269.0
122,Anna,Elecbyte,44.0,91.0
123,Annie murakami,Nyankoro,50.0,98.0
124,Annoying orange,A487561,406.0,384.0
125,Another iori,--4luc4rd h3l!ng--,74.0,102.0
126,Antman,Arkady,92.0,120.0
127,Chaka,null,125.0,120.0
128,Chronos,Aokmaniac13,62.0,82.0
129,Kanae,Aokmaniac13,111.0,223.0
130,Mei-fang,Aokmaniac13,182.0,195.0
131,Shadow,Aokmaniac13,85.0,79.0
132,Aoshi,Aoshi24,89.0,118.0
133,Apocalypse,N64mario,,
134,Apollo,Seanaltly,93.0,103.0
135,Ex apollo,Seanaltly,93.0,103.0
136,Applejack,Tylorthehedgehog,134.0,151.0
137,Hiedano akyu,Neneco,47.0,93.0
138,Aquaman,,103.0,114.0
139,Jesse,The_none,67.0,142.0
140,Aracne de tarantula,(gemeaux/erradicator - autores originais) - melhorado por pardo - rojo(yamil) - weltonsaint e kain (e antes melhorado por tony adv y tux),82.0,133.0
141,Fubuki,Nyankiryu,111.0,222.0
142,Archangel,Arkadyrossovitch && aa250,224.0,210.0
143,Archer,Seravy,51.0,123.0
145,Archetype:earth,41,,
146,Arch mage alice,Suika_no_otto,56.0,81.0
147,Arima_meirin,Suika_no_otto,59.0,95.0
148,Arina,Nhk,58.0,105.0
149,Armor lord,Raigugiraru,27.0,89.0
150,Arrange_ayu,Gu,62.0,93.0
151,Arrange_mishio,Gu,88.0,99.0
152,Arrange_misuzu,Gu,56.0,93.0
154,Arrange_shiori,Gu,56.0,90.0
155,Arrange_unknown,Gu,56.0,75.0
156,Red arremer,Hh,106.0,115.0
157,Arthas,Zuhukanah,,
158,Arthur,Acey & sludge,80.0,81.0
159,Asagi,Stupa,78.0,126.0
160,Ashura,Mugenhunter,63.0,78.0
164,Ash,"Tonyadv, the pizzaman, mr.chainsaw & vegetto",75.0,104.0
165,Astaroth,Cvs artist,139.0,126.0
166,Astonishing Cyclops,Loganir & verz,103.0,112.0
167,Astroboy,Kenshin,24.0,40.0
168,Honda asuka,Nyo,109.0,140.0
169,Asuta-san,Woman,150.0,150.0
170,Saori - athena,Grafica : shunchain y programacion : tecla2000,107.0,131.0
171,Athena asamiya,Choiyer,289.0,148.0
172,Athena,K6666orochi,147.0,197.0
173,Atusi,Man,52.0,116.0
174,Charlotte Aulin,Shadow099,54.0,101.0
175,Aura,Seravy,66.0,152.0
176,Auron,Lonesomeazn,150.0,150.0
177,Avdol ver 2001/01/30,camrat by Camrat,82.0,81.0
178,Angry video game nerd,Sskye,50.0,108.0
179,Terry bogard,Demonkai,82.0,104.0
180,Axearmor,null,40.0,53.0
181,Axel 'hawk' stone,Splode,45.0,79.0
182,Axl low,Meka,89.0,129.0
183,Axl,Muteki,183.0,258.0
184,Ayame,Kamonanban,142.0,385.0
185,Ayu tsukimiya,Seravy,62.0,91.0
187,Yatteyaru-death,Otz-kai,400.0,224.0
188,Azrael,Jasontodd and spidermew,104.0,106.0
189,Mario SMB1,Basara-kun,32.0,64.0
190,B.jenet,Infinite,57.0,107.0
191,Babidi,null,68.0,62.0
192,Oozura bebi,null,378.0,203.0
193,Baby commando,"Junior blade, the anvil & acey",146.0,196.0
194,Baiken,null,84.0,91.0
195,Baiken(ac),Muteki,171.0,211.0
196,Baitang,,,
197,Baki-hanma,Tokage,173.0,186.0
198,Baldhead,Bad darkness,115.0,91.0
199,Balrog,null,92.0,110.0
200,Dancing banana,Iron commando,55.0,101.0
201,Crash 1105,Madoldcrow1105,95.0,174.0
202,Bane,Jmaxximus/alexziq,139.0,158.0
203,Banshee,Acey,89.0,118.0
204,Barbatos_goetia,Kurogane,321.0,255.0
205,Bark,Mugen hunter,95.0,104.0
206,Bart,null,84.0,90.0
207,Kuma,Intoxicados,55.0,99.0
208,Basara,Montana,88.0,100.0
209,Bass,Chaotic and zero,95.0,88.0
210,Batgirl,Thx_1138,86.0,103.0
211,The batman,Cybaster,234.0,256.0
212,Goddman batman,Cybaster,234.0,256.0
213,Batman Normal,Cybaster,234.0,256.0
214,Classic batman,Cybaster,234.0,256.0
215,Battousai,"Aoshi24, warner, and danmt",86.0,95.0
216,Baby bonnie hood,Baby bonnie hood,59.0,91.0
217,Blue destiny 2,Kero,59.0,49.0
218,Bean,Mugen hunter,46.0,72.0
219,Back beard,Man,105.0,108.0
221,Beast,Acey,101.0,116.0
222,Beatrice,Baggy,128.0,128.0
223,Beavis,Aperson98,53.0,91.0
224,Bebi vegeta,null,319.0,93.0
225,Belmont trusdale,Kamekaze,69.0,91.0
226,Benimaru,Warusaki3-infinite edit,61.0,119.0
227,Benimaru_xiii,Iori974,137.0,251.0
228,Bernkastel,Baggy,128.0,129.0
229,Berserk,Goukasoshina_serikabase,118.0,163.0
230,Berserker,Choiya-,136.0,175.0
231,Batman beyond,Alexiq & spiderbat,95.0,120.0
232,Big,Mugen hunter,144.0,141.0
233,Billy kane,Infinite,170.0,140.0
234,Billy two moons,Melvanainchains,87.0,232.0
235,Billy two moons (jp),Melvanainchains,87.0,232.0
236,Billy_xiii,Iori974,270.0,211.0
237,Biscuit-oliva,Tokage,152.0,260.0
238,Bishamon,3ha,116.0,113.0
239,Bishop,Wucash and jetthephoenix,94.0,136.0
240,Bison,Coelasquid and pots,418.0,318.0
241,Bizarro,Kal-elvis & buyog2099,126.0,128.0
242,Biko daitokuji,null,79.0,89.0
243,Black manta,Scarletspider5,89.0,106.0
244,Black.t,"Harlemhero,the pizzaman",116.0,73.0
245,Black adam,Dr.doom and trexrell,130.0,129.0
246,Black mask,Legends of the dark knight team & friends,78.0,102.0
247,Blackmore,Chiyuri,,
248,Black polnareff,Warusaki3,55.0,117.0
249,Black ranger,Ermac won,55.0,56.0
250,Black widow,"Arkady, nico & hyper",80.0,108.0
251,Blanka,null,99.0,108.0
252,Blaster,Sdc,114.0,146.0
253,Blaziken,Brandon clay,107.0,100.0
254,Blaziken 2,Crazy koopa,177.0,236.0
255,Blizzard,The_none,88.0,122.0
256,Chaos,The_none,88.0,122.0
261,Blizzard M1,Basara-kun,63.0,109.0
263,Blob,Mythsoftaboo & magus,179.0,162.0
264,Blockhead,Artisto,137.0,274.0
265,Bloodrayne,Green,133.0,135.0
266,Bloodtide,,56.0,112.0
267,Blossom,Omegapsycho,38.0,65.0
268,Meth Blue Ranger,Jok,93.0,161.0
269,Blue ranger,Andrewcolonico,47.0,58.0
270,Protoman,Chaotic,89.0,86.0
271,B. magic girl,Kaiba,50.0,118.0
272,Hancock,Muko,27.0,70.0
273,Bojack,Gohanssm2,105.0,132.0
274,Bokosuka wars,Ahuron,18.0,18.0
275,The blob,Vib,100.0,100.0
276,Bomber man,null,36.0,50.0
277,Bonegolem,Dxwho,,
278,Bonus kun,Bad darkness,77.0,119.0
279,Boo,null,522.0,209.0
280,Fat boo,_vision,57.0,104.0
281,Bootleg ryu,Drkelexo,55.0,91.0
282,Ik borodin,Sdc,109.0,120.0
283,Plastic man,Mambojambo,111.0,126.0
284,Boss zeroko,Oni-miko,62.0,111.0
285,Bowling ball,,333.0,332.0
286,Bowser,K.y-shanxi,80.0,62.0
287,Boxer,Bane84,124.0,304.0
288,Bra,null,34.0,68.0
289,Bra 18,null,120.0,140.0
290,Brainiac,Ledernieraztlan,320.0,275.0
291,Briaaaaaaaaaaaaaaaaan,Ahuron,92.0,105.0
292,Brian griffin,Infamous,63.0,109.0
293,Bridget,Muteki,155.0,222.0
294,Brimstone,Elecbyte,157.0,205.0
295,Bristol,Choujin,59.0,115.0
296,Broccalon,Doug1105,200.0,278.0
297,Brocken,Gm,88.0,128.0
298,Broken,N64mario,66.0,98.0
299,Broli,The necromancer,57.0,119.0
300,Ssj three broli,null,75.0,120.0
301,Broly,The necromancer-maxi-edited by-infinite,308.0,504.0
302,Legendary super saiyan,Elecbyte,156.0,320.0
303,Brook,,39.0,87.0
304,Bubblegum,,103.0,285.0
305,Bubbles,007,42.0,47.0
306,Bruno bucciarati,Yoroko,53.0,123.0
307,Buggy,,46.0,60.0
308,Bulleta,null,59.0,91.0
309,Boulma,null,40.0,91.0
310,Burai_yamamoto,H,86.0,99.0
311,Achi cirno,Frule,80.0,96.0
312,Burter,Stig87,110.0,141.0
313,Butt-head,Godebal,26.0,70.0
314,Buttercup,Ssonic,38.0,48.0
315,Docinho,Ssonic,38.0,48.0
316,Butz,Helios,17.0,24.0
317,Super boo,Ssjtrunks,320.0,240.0
318,Majin buu,Gohanssm2,88.0,98.0
319,Byakuya,Bwdyeti,262.0,204.0
320,Byrne,Seanaltly,75.0,114.0
322,Cpt. falcon,Kamekaze,100.0,97.0
323,Chosen Ken,Chosen_01,64.0,108.0
324,And 18,Ssj trunks,120.0,120.0
325,Cable,Acey,110.0,136.0
326,Caesar,Ty0402ar,66.0,124.0
327,Calliel lezai,Bane84,189.0,299.0
328,Judgement,Corntortillas,105.0,132.0
329,Cammy,Cannon musume,72.0,94.0
330,Cammy NXC,Drowin,55.0,76.0
331,Capmurica,null,102.0,117.0
332,CaptainAmerica,"Verz,alienmorph,magus",92.0,120.0
333,Captain commando,Splode,116.0,102.0
334,Capella,"Mccready, m ,& sbio",100.0,124.0
335,Captain america,Acey,89.0,113.0
336,Captain marvel,Acey,98.0,145.0
337,Captain marvell,Acey,62.0,145.0
338,Carlos,N64mario,89.0,98.0
339,Carnage,Seth zankuten,112.0,95.0
340,Carnage MMV,Thefutur3 & t.o.p.s,124.0,94.0
341,Cartman,Andrewcolonico,99.0,85.0
343,Chonshu,David demianoff,38.0,96.0
344,Cci jhun,David demianoff,55.0,116.0
345,Cci kasumi,David demianoff,65.0,94.0
346,Cci kim,David demianoff,64.0,111.0
347,Cci kula,David demianoff,48.0,105.0
348,Kusanagi,David demianoff,62.0,104.0
349,Cci kyo,David demianoff,62.0,104.0
350,Cci mature,David demianoff,61.0,112.0
351,Cci mr.big,David demianoff,80.0,112.0
352,Cci ryuji,David demianoff,77.0,125.0
353,Cci saisyu,David demianoff,72.0,98.0
354,Cci shermie,David demianoff,67.0,114.0
355,Cci shingo,David demianoff,62.0,105.0
356,Chain combo yuyuko,Suika_no_otto,48.0,102.0
357,Celes,null,20.0,27.0
358,Perfect cell,Choujin,88.0,124.0
359,Cell junior,null,320.0,240.0
360,Cell jr,null,41.0,51.0
361,Cell SNES,Gohanssm2,100.0,125.0
362,Cell Hyper Dimension,Kamekaze,37.0,108.0
363,Chadha,Cafe,101.0,150.0
364,Chameleon,Chonwang,52.0,119.0
365,Change dragon,,36.0,51.0
366,Chaos Cy,Cyanide,37.0,40.0
367,Chaos Blanka,Blackchaos,82.0,108.0
368,Char's zaku,Gm,71.0,95.0
369,Char's z'gok,Gm,80.0,88.0
370,Charizard,Nintendo,176.0,186.0
371,Charlie,Mystikblaze,91.0,99.0
372,Charlotte Christine,Antagonist,109.0,120.0
373,Charlotte,Mrclmndks,300.0,300.0
374,Charmy bee,Mugen hunter,33.0,46.0
375,Cheatman,Ahuron&otto,24.0,48.0
376,Cheetahmen,Ahuron,,
377,Chiaotzu,Goten88,35.0,58.0
378,Chibiko,Elecbyte,51.0,101.0
379,Uzumaki naruto,Kaitsu-gohan,35.0,51.0
380,Son trunks,Lucifer,25.0,60.0
381,Chibi goku,Ssjtrunks,100.0,102.0
382,Chichi,null,320.0,240.0
383,Big chicken,Warner,104.0,124.0
384,Chill penguin,Mugenplayer21,80.0,80.0
385,Chipp,Muteki,211.0,211.0
386,Chipp Zanuff,Meka,105.0,106.0
387,Chaos hiryu,Shunkaku66,100.0,90.0
388,Chise,Minoo,91.0,98.0
389,Chiyo mihama,Shimon,37.0,95.0
390,Chiyo-chichi,Daniel9999999,39.0,92.0
391,Chizuru kagura,Sander71113,69.0,108.0
392,Chizuru 71113,Sander71113,69.0,108.0
393,Chizuruxxx,Tokage,640.0,480.0
394,Chloe&maumau,Woman,46.0,79.0
395,Chomper,N64mario,128.0,128.0
396,Tony Chopper,,25.0,39.0
397,Chosu,Nail,37.0,53.0
398,Chouji,,90.0,117.0
399,Chousokabe motochika,Gal129,275.0,304.0
400,Chris,"Magus,5k0rx,the pizzaman",90.0,100.0
401,Chrysalis,Hsr,226.0,96.0
402,Chun-li,Qiyue china,206.0,239.0
403,Chun-li jj,Beterhans,64.0,120.0
404,Chuu,Kamekaze,150.0,229.0
405,Cheapest kfm!!!,Elecbyte,85.0,90.0
406,Cid highwind,Cidlover1,80.0,104.0
407,Eleicia,Sumi,36.0,102.0
408,Cirno,Seravy,76.0,88.0
409,Clara,Nhk,52.0,92.0
410,Clayface,Legends of the dark knight team & friends,155.0,154.0
411,Cless alvein,Rainman,,
412,Alvein,Gn,163.0,159.0
414,Cloud (3d),Anmc,82.0,116.0
415,Cloud ex,Tony adv,117.0,118.0
416,Cloudo Strife,[chrono]cloud strife ff7h,85.0,111.0
417,Omega Cloud Strife,Yamakichi (edited by blood_riot_iori),168.0,179.0
418,Cloud strife,Yamakichi,168.0,179.0
419,Eriol hiiragizawa,Seravy,108.0,129.0
420,Sakura kinomoto,Seravy,,
423,Shaoran lee,Seravy,79.0,86.0
424,Void,Seravy,97.0,100.0
425,Yue CC,Seravy,122.0,136.0
426,Nami,Hkchunho,62.0,142.0
427,Cm punk,Seanaltly,112.0,118.0
428,Franky CM,Edd13,91.0,90.0
431,Chili n pepper,The_none,65.0,102.0
432,The Colonel,Peg,43.0,139.0
433,Colonel sanders,Peg,43.0,139.0
434,Colossus,Zvitor,104.0,140.0
435,Condor,Kamekaze,97.0,138.0
436,Predator,Duracelleur,87.0,123.0
437,Crashman,Laspacho,85.0,68.0
438,Creeper,Nazrin_no_otto,187.0,350.0
439,Krillin UB22,Vincej18,112.0,164.0
440,Crono,Kyo kusanagi,31.0,31.0
441,Crystal,Magus dcvsm,95.0,99.0
442,Cursor,N-mario,22.0,38.0
443,Cutman,Excursion,84.0,79.0
444,Spawn CVG,"The arlequin,aa250,bdc,trexell,devsman",112.0,121.0
445,Another kyo,Mouser && byakko,63.0,106.0
446,Eagle,Byakko,59.0,112.0
447,Joe CVS,Byakko,60.0,108.0
448,Kim kaphwan CVS2,Byakko,57.0,115.0
449,Kagami kyosuke,Byakko,78.0,109.0
450,Chang,Gal129,102.0,147.0
451,Athena CVS,Warusaki3,65.0,93.0
452,Bluestreak,Jesuszilla,68.0,126.0
453,Dan CVS,Warusaki3,70.0,108.0
454,Geese CVS,Warusaki3,71.0,117.0
455,G rugal CVS,Warusaki3,108.0,132.0
456,Haohmaru CVS,Warusaki3,104.0,110.0
457,Rasetsumaru,Warusaki3,104.0,110.0
458,Hibiki,Mouser,66.0,91.0
459,Jill CVS,Warusaki3,80.0,97.0
460,Ken CVS,Warusaki3,57.0,106.0
461,Kuroko,Warusaki3,76.0,96.0
462,Kyo CVS,Warusaki3,63.0,107.0
463,Mature CVS,Warusaki3,59.0,106.0
464,Alucard SOTN,Dxwho,22.0,47.0
465,Alucard PNE,Pneophen,27.0,48.0
466,Giant bat,Dxwho,166.0,172.0
467,Rock,Warusaki3,71.0,110.0
468,Rugal CVS,Warusaki3,73.0,131.0
469,Ryo,Warusaki3,63.0,108.0
470,Ryu CVS,Warusaki3,57.0,106.0
471,Terry CVS,Warusaki3,82.0,104.0
472,Bison CVS,Gargoyle,92.0,103.0
473,Vice CVS,Warusaki3,59.0,105.0
474,Devil jin,Chuchoryu,90.0,117.0
475,Heihachi CVS,Chuchoryu,82.0,108.0
477,Young Heihachi,Chuchoryu,86.0,111.0
478,Orochi iori,Anmc,60.0,87.0
479,Jin CVS,Chuchoryu,63.0,112.0
480,Jin CVS TAG,Chuchoryu,63.0,112.0
481,Kazuya mishima,Chuchoryu,63.0,114.0
482,Kuma CVS,Chuchoryu,92.0,159.0
483,Marshal law,Chuchoryu,77.0,105.0
484,Mai,Hh,68.0,99.0
485,Pac-man,Chuchoryu,124.0,129.0
486,Ogre,Chuchoryu,108.0,149.0
487,Paul phoenix,Chuchoryu,70.0,113.0
488,Raiden CVS,Hh,128.0,131.0
489,Cactuar,Seanaltly,75.0,77.0
490,Jin kazama,Seanaltly,74.0,107.0
491,Cv wakamoto,Man,55.0,107.0
492,Haggar,Seanaltly,107.0,130.0
495,Scorpion CVW,Seanaltly,91.0,111.0
496,Sub-zero CVW,Seanaltly,91.0,111.0
497,Blodia,Cyberbots,103.0,102.0
498,Fordy,Cyberbots,85.0,90.0
499,Gaits,Cyberbots,100.0,79.0
500,Helion,Cyberbots,122.0,123.0
501,Jackal,Cyberbots,161.0,92.0
502,Reptos,Cyberbots,116.0,114.0
503,Riot,Cyberbots,115.0,107.0
504,Super-8,Cyberbots,312.0,155.0
505,Cyber shredder 2.1,null,53.0,96.0
506,Cyborg SFI,Basara-kun,46.0,94.0
508,Cyrax umk3,Juano16,78.0,136.0
511,Cyborg superman,Vladnesas,153.0,156.0
513,Cycloid sigma,Ahuron,491.0,293.0
514,Cyclops,null,87.0,117.0
515,Devo,Anmc,76.0,111.0
516,Dark donald,Kishio&&donalddesu,,
517,D kanna,ã¿ã‹ãˆã‚‹,221.0,187.0
518,D-rugal,Ahuron,108.0,132.0
519,Bloodbane,Deman,240.0,246.0
520,Death adder,Mike obrecht,143.0,142.0
521,Daffy duck,Jay_high19,65.0,68.0
522,Daigo,Mugen d. luffy&kayui uma,64.0,117.0
523,Piccolo daimaoh,Choujin,105.0,117.0
524,Daimon 71113,Sander71113,91.0,127.0
525,Spy-dama,Fu-lin,94.0,107.0
526,Dan,Phantom.of.the.server,116.0,216.0
527,Dansai-san,Woman,141.0,182.0
528,Dante,Elecbyte,123.0,263.0
529,Dante DMC4,Yamato,141.0,271.0
530,Violent dan,Mr.x-file,56.0,111.0
531,D Chun-li,Big eli king,91.0,146.0
532,Darkon,Darkonmk,65.0,109.0
533,Dark phoenix,Comedy haha and cidlover1,95.0,102.0
534,Darkseid,Wucash,148.0,139.0
535,Darkseid IS,,123.0,134.0
536,Darkwing duck,Wlanmaniax,39.0,64.0
537,Date masamune,Neat unsou,241.0,249.0
538,The dazzler,Jr6 and twinimage,95.0,100.0
539,Krang,Dcat power,65.0,136.0
540,Shredder,Dcat power,81.0,131.0
541,Dark chun-li,Big eli king,84.0,93.0
542,Deadpool,"Unlimited team - sprites, wucash - code",126.0,134.0
543,Dean,Basara-kun,53.0,95.0
544,Death13,Gokuhi,186.0,162.0
545,Death,Dxwho,29.0,82.0
546,Death force,Mabs-kmk,173.0,207.0
547,Death maul,Rmx,63.0,121.0
548,Deathmask,Drkelexo,86.0,142.0
549,Death ogre,null,118.0,101.0
550,Death black shot,Sdc&gomyunggook,97.0,143.0
551,Dee bee kaw,The_none,59.0,115.0
552,Dee jay,N64mario,75.0,110.0
553,Derp,Neocargalpha,94.0,233.0
554,Despero,Xxxxx,100.0,115.0
555,Dare devil,"Zam-tong, kurz, jasontodd, alexziq",84.0,114.0
556,Blossom DG,Doomguy ii,59.0,61.0
557,Bubbles DG,Doomguy ii,40.0,50.0
558,Buttercup DG,Doomguy ii,44.0,49.0
559,Dhalsim,null,105.0,119.0
560,Dhalsims,Nrf,97.0,103.0
561,Diablo,Lord sinistro,179.0,108.0
562,Diablo_skeleton,Realredred,160.0,259.0
563,Raptor,null,238.0,208.0
565,Dio,Warusaki3,66.0,120.0
566,Dio M,Warusaki3,66.0,120.0
567,Dio di musca,Grafica : welton saint y programacion : pardo y tecla2000,69.0,117.0
568,Dio brando,Montana,56.0,120.0
569,Ditto,Dj hannibalroyce,36.0,32.0
570,Poison,Divinewolf,52.0,112.0
571,Dizzy,Muteki,209.0,265.0
572,Donkey kong,Infiinma,38.0,38.0
573,Grappler_hiyama,Goukasoshina,74.0,122.0
574,Docock,Rehapvictimz and doc ock!,134.0,115.0
575,Dodoria,null,60.0,52.0
576,Donatello,Pioupiou,62.0,72.0
577,Donald,Kishio,97.0,273.0
578,Don patch,Mikedabike,70.0,84.0
579,Doom vega,Asccort,80.0,121.0
580,Doomsday,Dc,160.0,166.0
581,Doparmin,Man,160.0,160.0
582,Dopefish,The_none + aokmaniac + tom hall + joe siegler + brian kendall,86.0,64.0
583,Doppo orochi,Tokage,139.0,238.0
584,Dora,Elecbyte,181.0,166.0
585,Doraemon,Sugiemon,23.0,32.0
586,Dosu,,50.0,74.0
587,Dudley Puppy,,275.0,225.0
588,Dracula,Raigugiraru,37.0,79.0
591,Mecha dragon,N-mario,66.0,95.0
592,Dragon ken,Shammahalfa1,55.0,114.0
593,Dragon claw,Reu,116.0,113.0
594,D'raven,Ihoo1836,36.0,119.0
595,Dr.doom,Juan carlos,176.0,133.0
597,Dr.gero,Choujin,56.0,85.0
598,Drill asamin,Woman,75.0,86.0
599,Stupid little drill tank,Kamek,105.0,64.0
600,Drunk rock lee,Reymugen,49.0,59.0
601,Chameleon DS,Psyperion,52.0,108.0
602,Dark saber,End,102.0,116.0
603,Duane,Captainowl,240.0,160.0
604,Duck king,Laiso_7,97.0,115.0
605,Dudley,Sf4,93.0,125.0
606,Duke nukem,T.o.p.s,94.0,136.0
607,Dulton,Nhk,59.0,119.0
608,Duolon,Ahuron,289.0,148.0
609,Dark arcueid mk2,586&otto,53.0,105.0
610,Chiel,Qwerty,36.0,102.0
612,E-102r,Cyanide,35.0,44.0
613,Eagle zero,Meta gouki + arma_x + n-mario + basara-kun,59.0,112.0
614,Earl,Roysquadrocks,46.0,58.0
615,Earthworm jim,Drkelexo,64.0,97.0
616,Eddie,Muteki,139.0,263.0
617,Edgar figaro,null,34.0,28.0
618,Edward elrick,Heejun184,76.0,90.0
619,Egg chamber,Sergeus,,
620,Eiji kisaragi,Ahuron,289.0,148.0
621,Evil kung fu man mkii,The_none,51.0,106.0
622,Stingray,Infinite,146.0,158.0
623,Elastigirl,Warner,95.0,108.0
624,Electro,Verz36 & friends,93.0,126.0
626,Elektra,Eclipse,30.0,81.0
627,Elisabeth blanctorche xiii,Flowrallia,110.0,241.0
628,Ella,Aiduzzi,42.0,121.0
629,Elongated man,Jhonny_dc,86.0,123.0
630,Elsa_maria,Noeru,63.0,67.0
631,Emerald,Poshpsylocke,60.0,126.0
632,Emerl,Cyanide,24.0,41.0
633,Emma frost,"Sprites: eclipse & x-fields, code: wucash & ryou win & zvitor",53.0,122.0
634,Emperor,Dager,184.0,288.0
635,Enoch,Nazrin_no_otto,152.0,138.0
636,Enya,Corntortillas,96.0,98.0
637,Eric,Basara-kun,70.0,99.0
638,Eri_hasumi,Zsm,186.0,270.0
639,Ryu Evil,Chloe,60.0,109.0
640,Erza,Mikel8888,40.0,90.0
641,Esmeralda,Grafica : shunchain y programacion : tecla2000,66.0,129.0
642,Espio,Mugenhunter,62.0,80.0
